RepRapFirmware height map file v2 generated at 2026-01-02 09:06, min error -0.015, max error 0.173, mean 0.082, deviation 0.056
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,25.00,325.00,25.00,325.00,-1.00,74.99,74.99,5,5
  0.165,  0.090,  0.113,  0.128,  0.173
  0.075, -0.015, -0.007,  0.035,  0.113
  0.093, -0.010, -0.005,  0.055,  0.120
  0.138,  0.025,  0.033,  0.070,  0.125
  0.148,  0.063,  0.060,  0.105,  0.158
